thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-8.835621688142163421e-01,2.635035400109037584e-01,-2.120051141618051888e-02,8.094019649456654086e-01,-1.916906727728076576e-01,1.340024834197435011e+00,1.409500000000000064e+01,1.000000000000000000e+00
-8.494666142594403668e-01,2.727554424274222233e-01,-3.304662326579675506e-03,8.133317865483239428e-01,-1.934110529630127528e-01,1.295272065529935901e+00,1.409999999999999964e+01,1.000000000000000000e+00
-8.133690862159954627e-01,2.739331408870185336e-01,2.179188837954917218e-02,8.037451785373423974e-01,-1.926784217357635498e-01,1.263345235186089655e+00,1.410500000000000043e+01,1.000000000000000000e+00
-7.869509144280599777e-01,2.722160626455270016e-01,4.797942270342112764e-02,7.770468004546482454e-01,-1.904670504680754106e-01,1.237879943939758087e+00,1.410999999999999943e+01,1.000000000000000000e+00
-7.672383853544565424e-01,2.630139471549283736e-01,7.081997842958512313e-02,7.462907282190929248e-01,-1.900033398099857385e-01,1.211214274062600849e+00,1.411500000000000021e+01,1.000000000000000000e+00
-7.357795213667911449e-01,2.452868253646275920e-01,9.520604912889592264e-02,6.995815045421769351e-01,-1.860535321204180581e-01,1.165821670615106775e+00,1.411999999999999922e+01,1.000000000000000000e+00
-7.199166541164077060e-01,2.193114336556949706e-01,9.792837748402399844e-02,6.407615505775299258e-01,-1.838571057464967184e-01,1.109479594326903129e+00,1.412500000000000000e+01,1.000000000000000000e+00
-7.101407449344580014e-01,1.938061601219303043e-01,1.021974992294112095e-01,5.732845801086394744e-01,-1.877449549536165385e-01,1.058619541105897177e+00,1.413000000000000078e+01,1.000000000000000000e+00
-7.075298934721268029e-01,1.653830206473707320e-01,9.964305600255472795e-02,4.975663077289338987e-01,-1.963237887591874342e-01,1.008787643770487463e+00,1.413499999999999979e+01,1.000000000000000000e+00
-7.060784399184334426e-01,1.387223924000747510e-01,9.130541562926366983e-02,3.685530760220378510e-01,-2.081727766387883594e-01,9.389700747626974486e-01,1.414000000000000057e+01,1.000000000000000000e+00
-7.053323583160353571e-01,1.229787666241229233e-01,8.676468904882586597e-02,2.738536253458297987e-01,-2.221308066060659059e-01,8.901828177539303777e-01,1.414499999999999957e+01,1.000000000000000000e+00
-7.084691392109558894e-01,1.203765364785163994e-01,8.184006270416742390e-02,2.008219962712201878e-01,-2.323921861482354523e-01,8.378241441190372729e-01,1.415000000000000036e+01,1.000000000000000000e+00
-7.076095731030420666e-01,1.307370251564402841e-01,7.226537230283783253e-02,1.477811687056088397e-01,-2.383914177771341292e-01,7.829532838995416633e-01,1.415499999999999936e+01,1.000000000000000000e+00
-7.046628410868457371e-01,1.515136484678849538e-01,6.365850048357939162e-02,1.096802738470486205e-01,-2.410421338281448778e-01,7.404460365663929622e-01,1.416000000000000014e+01,1.000000000000000000e+00
-7.033939052166456873e-01,1.720990931645431377e-01,6.131675200316177854e-02,9.236295989533699347e-02,-2.403245121240615845e-01,7.107668199242564988e-01,1.416499999999999915e+01,1.000000000000000000e+00
-6.938355045597470738e-01,1.971940341964900367e-01,5.961606910597191250e-02,1.256834675242001487e-01,-2.325937948929423793e-01,6.681432047919879658e-01,1.416999999999999993e+01,1.000000000000000000e+00
-6.871201738366905509e-01,2.101069130407316188e-01,5.840456438890374857e-02,1.614516894521631496e-01,-2.249674135879289050e-01,6.367463072316339456e-01,1.417500000000000071e+01,1.000000000000000000e+00
-6.826115009843638504e-01,2.286587034755124814e-01,5.656923326156818727e-02,2.192264345219821220e-01,-2.255295651772436516e-01,6.086400698100793427e-01,1.417999999999999972e+01,1.000000000000000000e+00
-6.741524790491409957e-01,2.420456018292740374e-01,4.923535306363663322e-02,2.784522195890725138e-01,-2.170704484269576073e-01,5.769159162413066699e-01,1.418500000000000050e+01,1.000000000000000000e+00
-6.605492780029559308e-01,2.571907847656205726e-01,4.145499772768047181e-02,3.163407406858594895e-01,-2.019840567322661040e-01,5.316705198677563748e-01,1.418999999999999950e+01,1.000000000000000000e+00
-6.602881461376712835e-01,2.658902473710950121e-01,3.577927683998503861e-02,3.402161324275065346e-01,-1.988318398036864887e-01,5.002147160435901352e-01,1.419500000000000028e+01,1.000000000000000000e+00
-6.437963813041156502e-01,2.703071976525123765e-01,3.104658436052843556e-02,3.715913985815384457e-01,-1.942765880775262910e-01,4.434489083690349442e-01,1.419999999999999929e+01,1.000000000000000000e+00
-6.414145027890010287e-01,2.890582590090848281e-01,2.758129925618756084e-02,3.896150481614178984e-01,-2.012302875518798828e-01,4.024485599867907437e-01,1.420500000000000007e+01,1.000000000000000000e+00
-6.485340122637398563e-01,3.211295649355108695e-01,1.584975319066250429e-02,4.039232395464844583e-01,-1.978801656576660017e-01,3.627875713260621526e-01,1.421000000000000085e+01,1.000000000000000000e+00
